INVESTIGATION_ID,AddrLine,House,Street,Type,Direction
5454317,150 RANEE AVE,150,RANEE,AVE,
5697103,158 RANEE AVE,158,RANEE,AVE,
5704929,158 RANEE AVE,158,RANEE,AVE,
5577740,135 VARNA DR,135,VARNA,DR,
5455489,159 REGINA AVE,159,REGINA,AVE,
5453518,159 REGINA AVE,159,REGINA,AVE,
5653374,159 REGINA AVE,159,REGINA,AVE,
5494233,335 RANEE AVE,335,RANEE,AVE,
5501709,335 RANEE AVE,335,RANEE,AVE,
5506219,311 RANEE AVE,311,RANEE,AVE,
5407611,309 RANEE AVE,309,RANEE,AVE,
5437884,60 SPARROW AVE,60,SPARROW,AVE,
5438243,60 SPARROW AVE,60,SPARROW,AVE,
5408871,60 SPARROW AVE,60,SPARROW,AVE,
5409607,60 SPARROW AVE,60,SPARROW,AVE,
5409618,60 SPARROW AVE,60,SPARROW,AVE,
5489191,60 SPARROW AVE,60,SPARROW,AVE,
5484253,60 SPARROW AVE,60,SPARROW,AVE,
5437881,58 SPARROW AVE,58,SPARROW,AVE,
5438241,58 SPARROW AVE,58,SPARROW,AVE,
5600372,58 SPARROW AVE,58,SPARROW,AVE,
5399403,21 ALLINGHAM GDNS,21,ALLINGHAM,GDNS,
5360731,19 ALLINGHAM GDNS,19,ALLINGHAM,GDNS,
5435557,19 ALLINGHAM GDNS,19,ALLINGHAM,GDNS,
5465288,19 ALLINGHAM GDNS,19,ALLINGHAM,GDNS,
5465293,19 ALLINGHAM GDNS,19,ALLINGHAM,GDNS,
5458857,19 ALLINGHAM GDNS,19,ALLINGHAM,GDNS,
5502454,3790 BATHURST ST,3790,BATHURST,ST,
5603314,3790 BATHURST ST,3790,BATHURST,ST,
5660052,46 ALMONT RD,46,ALMONT,RD,
5492629,27 COLLINSON BLVD,27,COLLINSON,BLVD,
2429463,44 BARCLAY RD,44,BARCLAY,RD,
5442804,105 LAURELCREST AVE,105,LAURELCREST,AVE,
5645332,95 LAURELCREST AVE,95,LAURELCREST,AVE,
5696010,24 REDMOUNT RD,24,REDMOUNT,RD,
5497208,66 DANBY AVE,66,DANBY,AVE,
5675243,55 YEOMANS RD,55,YEOMANS,RD,
5436907,26 DANBY AVE,26,DANBY,AVE,
5436908,28 DANBY AVE,28,DANBY,AVE,
5399704,32 DANBY AVE,32,DANBY,AVE,
5689537,32 DANBY AVE,32,DANBY,AVE,
5696143,32 DANBY AVE,32,DANBY,AVE,
5437959,110 ALEXIS BLVD,110,ALEXIS,BLVD,
5390055,799 SHEPPARD AVE W,799,SHEPPARD,AVE,W
5371354,128 GORMAN PARK RD,128,GORMAN PARK,RD,
5701450,15 SUNBEAM AVE,15,SUNBEAM,AVE,
5701379,15 SUNBEAM AVE,15,SUNBEAM,AVE,
5532738,5 SUNBEAM AVE,5,SUNBEAM,AVE,
5527382,1 SUNBEAM AVE,1,SUNBEAM,AVE,
5445245,88 FAYWOOD BLVD,88,FAYWOOD,BLVD,
5499792,88 FAYWOOD BLVD,88,FAYWOOD,BLVD,
5623219,88 FAYWOOD BLVD,88,FAYWOOD,BLVD,
5679593,15 FAITH AVE,15,FAITH,AVE,
5675535,9 FAITH AVE,9,FAITH,AVE,
5669444,9 FAITH AVE,9,FAITH,AVE,
5576967,63 TILLPLAIN RD,63,TILLPLAIN,RD,
5497204,284 CODSELL AVE,284,CODSELL,AVE,
5629761,284 CODSELL AVE,284,CODSELL,AVE,
5624279,284 CODSELL AVE,284,CODSELL,AVE,
5441859,284 CODSELL AVE,284,CODSELL,AVE,
5457838,272 CODSELL AVE,272,CODSELL,AVE,
5716745,765 WILSON HEIGHTS BLVD,765,WILSON HEIGHTS,BLVD,
5469130,229 PANNAHILL RD,229,PANNAHILL,RD,
5501131,217 PANNAHILL RD,217,PANNAHILL,RD,
5485959,217 PANNAHILL RD,217,PANNAHILL,RD,
5476234,217 PANNAHILL RD,217,PANNAHILL,RD,
5590364,217 PANNAHILL RD,217,PANNAHILL,RD,
5631521,217 PANNAHILL RD,217,PANNAHILL,RD,
5623459,217 PANNAHILL RD,217,PANNAHILL,RD,
5454051,203 PANNAHILL RD,203,PANNAHILL,RD,
5454054,203 PANNAHILL RD,203,PANNAHILL,RD,
5477067,203 PANNAHILL RD,203,PANNAHILL,RD,
5536005,203 PANNAHILL RD,203,PANNAHILL,RD,
5361093,54 ROBERT HICKS DR,54,ROBERT HICKS,DR,
5369002,54 ROBERT HICKS DR,54,ROBERT HICKS,DR,
5667833,86 ROBERT HICKS DR,86,ROBERT HICKS,DR,
5586632,1089 GLENCAIRN AVE,1089,GLENCAIRN,AVE,
5458036,1073 GLENCAIRN AVE,1073,GLENCAIRN,AVE,
5645668,1039 GLENCAIRN AVE,1039,GLENCAIRN,AVE,
5646291,1039 GLENCAIRN AVE,1039,GLENCAIRN,AVE,
5620280,1039 GLENCAIRN AVE,1039,GLENCAIRN,AVE,
5687148,1039 GLENCAIRN AVE,1039,GLENCAIRN,AVE,
5509069,2848 DUFFERIN ST,2848,DUFFERIN,ST,
