INVESTIGATION_ID,Location,Sublocation,Desc,Status
5694363,Bathroom,,"Wall(s) not maintained free of holes, cracks, damaged and deteriorated materials.Namely: Paster repairs to bathroom walls have not been sanded or refinshed.",Closed
5694363,Throughout Dwelling Unit,,The property is not being kept free of pests.Namely: Mice entering the unit from behind the raidiators in the living room and dining room.,Closed
5690204,,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to kitchen cabinets/cupboards",Open
5693785,,,Allowing water to collect or remain in a swimming pool without an approved permanent swimming pool enclosure in place.,Open
5706499,Hall,,The electrical fixtures are not maintained in a safe and complete condition.Namely: electrical fixtures in hallway found in a state of disrepair ,Open
5706499,Living Room,,"The floor and every appurtenance, surface cover and finish is not maintained. Namely: Parquet floor in Living Room in a state of disrepair ",Open
5706795,Rear,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped, or deposited, including but not limited to tree clippings, concrete, and wooden materials.",Open
5706919,Throughout Property,,"The hedge(s), shrub(s), tree(s) and/or plant has been planted and/or maintained in a manner which is affecting the safety of vehicular or pedestrian traffic.",Open
5706919,Throughout Property,,"The hedge(s), shrub(s), tree(s) and/or plant has been planted and/or maintained in a manner which is obstructing the view of vehicular traffic.",Open
5706984,Bathroom,,The light standard(s) supporting artificial light is not kept in good repair and in good working order.,Open
5706984,Bedroom,,The light standard(s) supporting artificial light is not kept in good repair and in good working order.,Open
5706984,Laundry Room,,The light standard(s) supporting artificial light is not kept in good repair and in good working order.,Open
5706984,Bedroom,,The electrical fixtures are not maintained in good working order.,Open
5708734,Throughout Property,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to cast aside, discarded or abandoned chairs, styrofoam, mattress, tires, plywood, garbage bags, cigarette butts, and yard waste. ",Open
5706307,Rear Yard,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to inoperable vehicle.",Open
5706594,Throughout Property,,The property is not being kept free of pests.,Open
5706609,Rear Yard,,"The tree, plant, limb or branch, which is located on the property is dead and has not been removed or otherwise pruned to remove the dead portion., namely remove the 22cm diameter multi-stem cherry tree to ground level.",Open
5705158,Apartment,Bathroom,"The floor drain is not maintained in good repair. Namely, the Floor Drain Cover in the Master Bedroom Shower.",Closed
5705158,Bathroom,,"Wall(s) not maintained free of holes, cracks, damaged and deteriorated materials. Namely, the Tiles in the Master Bedroom Shower.",Closed
5705158,Bathroom,Apartment,"The property has not been repaired in accordance with the standards. Namely, the Caulking in the Master Bedroom Shower.",Closed
